generation,candidate,score,mean_mse,std_mse,mean_energy,is_best
9,3,-0.015443533658981323,0.015443533658981323,1.9674344002851285e-05,0.0933573842048645,0
9,4,-0.015402824617922306,0.015402824617922306,6.391543138306588e-05,0.0983419343829155,0
9,5,-0.01541830226778984,0.01541830226778984,2.1168491002754308e-05,0.09753676503896713,0
9,6,-0.0154334157705307,0.0154334157705307,2.4645583835081197e-05,0.08839984983205795,0
9,7,-0.015444058924913406,0.015444058924913406,2.0682911781477742e-05,0.09085523337125778,0
9,8,-0.01542659942060709,0.01542659942060709,8.962828360381536e-06,0.08567681163549423,0
9,9,-0.01542739849537611,0.01542739849537611,2.307703107362613e-05,0.1015424132347107,0
9,10,-0.015439912676811218,0.015439912676811218,2.3879760192357935e-05,0.0921594426035881,0
9,11,-0.015427258796989918,0.015427258796989918,3.7717129544034833e-06,0.09189212322235107,0
10,0,-0.01542364526540041,0.01542364526540041,2.345536631764844e-05,0.09561789035797119,0
10,1,-0.015417877584695816,0.015417877584695816,2.0919818780384958e-05,0.0694444328546524,0
10,2,-0.015432310290634632,0.015432310290634632,1.7747148376656696e-05,0.11759662628173828,0
10,3,-0.01541790273040533,0.01541790273040533,2.1233401639619842e-05,0.10858742147684097,0
10,4,-0.01543464045971632,0.01543464045971632,1.2348824384389445e-05,0.08861304074525833,0
10,5,-0.015437762252986431,0.015437762252986431,1.5729881852166727e-05,0.0694444328546524,0
10,6,-0.015409491956233978,0.015409491956233978,4.109450674150139e-05,0.11074835062026978,0
10,7,-0.015492484904825687,0.015492484904825687,5.7408702559769154e-05,0.11099468916654587,0
10,8,-0.015435151755809784,0.015435151755809784,1.4781118807150051e-05,0.0694444328546524,0
10,9,-0.01542047131806612,0.01542047131806612,3.995158840552904e-05,0.09672360867261887,0
10,10,-0.01541175227612257,0.01541175227612257,6.79780132486485e-05,0.10101190209388733,0
10,11,-0.015439778566360474,0.015439778566360474,2.3913531549624167e-05,0.09994105249643326,0
11,0,-0.01543143019080162,0.01543143019080162,1.8280934455106035e-05,0.08027774840593338,0
11,1,-0.015431682579219341,0.015431682579219341,9.67768210102804e-06,0.07480408996343613,0
11,2,-0.01541865523904562,0.01541865523904562,2.0737788872793317e-05,0.0694444328546524,0
11,3,-0.015415161848068237,0.015415161848068237,2.097907599818427e-05,0.0887303575873375,0
11,4,-0.015427549369633198,0.015427549369633198,1.957487256731838e-05,0.0694444328546524,0
11,5,-0.015436019748449326,0.015436019748449326,1.687691838014871e-05,0.0694444328546524,0
11,6,-0.01540959533303976,0.01540959533303976,2.8155049221822992e-05,0.10113179683685303,0
11,7,-0.015417847782373428,0.015417847782373428,2.035896250163205e-05,0.0694444328546524,0
11,8,-0.01542592328041792,0.01542592328041792,8.593012353230733e-06,0.09633523225784302,0
11,9,-0.015443327836692333,0.015443327836692333,2.2809179426985793e-05,0.0694444328546524,0
11,10,-0.015422548167407513,0.015422548167407513,2.2971189537202008e-05,0.0694444328546524,0
11,11,-0.015433196909725666,0.015433196909725666,1.8915399778052233e-05,0.09669486433267593,0
12,0,-0.015414029359817505,0.015414029359817505,1.692667865427211e-05,0.09938665479421616,0
12,1,-0.015435603447258472,0.015435603447258472,1.8117587387678213e-05,0.0694444328546524,0
12,2,-0.015432282350957394,0.015432282350957394,1.954284743987955e-05,0.10444743186235428,0
12,3,-0.015546486712992191,0.015546486712992191,5.709017568733543e-05,0.11111892014741898,0
12,4,-0.015417796559631824,0.015417796559631824,2.2359919967129827e-05,0.09424323588609695,0
12,5,-0.015439714305102825,0.015439714305102825,1.7455924535170197e-05,0.0694444328546524,0
12,6,-0.015418477356433868,0.015418477356433868,2.2013953639543615e-05,0.0694444328546524,0
12,7,-0.015417112968862057,0.015417112968862057,2.038798811554443e-05,0.0694444328546524,0
