generation,candidate,score,mean_wake_mse,std_wake_mse,mean_drag,mean_energy,is_best
6,7,-0.04401613399386406,0.04401613399386406,3.725290298461914e-09,0.0,0.10092159360647202,0
6,8,-0.04401613399386406,0.04401613399386406,3.725290298461914e-09,0.0,0.09243027120828629,0
6,9,-0.04401613399386406,0.04401613399386406,3.725290298461914e-09,0.0,0.09492620080709457,0
7,0,-0.04401613399386406,0.04401613399386406,3.725290298461914e-09,0.0,0.10189836472272873,0
7,1,-0.04407850280404091,0.04407850280404091,0.0,0.0,0.10589197278022766,0
7,2,-0.04642653092741966,0.04642653092741966,0.0,0.0,0.09340723603963852,0
7,3,-0.04401613399386406,0.04401613399386406,3.725290298461914e-09,0.0,0.08913251012563705,0
7,4,-0.04642653092741966,0.04642653092741966,0.0,0.0,0.09587959200143814,0
7,5,-0.04642653092741966,0.04642653092741966,0.0,0.0,0.09591325372457504,0
7,6,-0.04642653092741966,0.04642653092741966,0.0,0.0,0.0694444328546524,0
7,7,-0.04401613399386406,0.04401613399386406,3.725290298461914e-09,0.0,0.09652260690927505,0
7,8,-0.04642653092741966,0.04642653092741966,0.0,0.0,0.09979897737503052,0
7,9,-0.04401613399386406,0.04401613399386406,3.725290298461914e-09,0.0,0.10441663861274719,0
8,0,-0.04401613399386406,0.04401613399386406,3.725290298461914e-09,0.0,0.09752907603979111,0
8,1,-0.04642653092741966,0.04642653092741966,0.0,0.0,0.09320899844169617,0
8,2,-0.04485589638352394,0.04485589638352394,0.0,0.0,0.0904172882437706,0
8,3,-0.04401613399386406,0.04401613399386406,3.725290298461914e-09,0.0,0.09710987657308578,0
8,4,-0.04401613399386406,0.04401613399386406,3.725290298461914e-09,0.0,0.09731102734804153,0
8,5,-0.04642653092741966,0.04642653092741966,0.0,0.0,0.08511483669281006,0
8,6,-0.04401613399386406,0.04401613399386406,3.725290298461914e-09,0.0,0.09105505794286728,0
8,7,-0.04642653092741966,0.04642653092741966,0.0,0.0,0.09629514813423157,0
8,8,-0.04642653092741966,0.04642653092741966,0.0,0.0,0.08993222564458847,0
8,9,-0.04401613399386406,0.04401613399386406,3.725290298461914e-09,0.0,0.10190040618181229,0
9,0,-0.04401613399386406,0.04401613399386406,3.725290298461914e-09,0.0,0.09746723622083664,0
9,1,-0.04401613399386406,0.04401613399386406,3.725290298461914e-09,0.0,0.09160857647657394,0
9,2,-0.044876743108034134,0.044876743108034134,0.0,0.0,0.09141496568918228,0
9,3,-0.04401613399386406,0.04401613399386406,3.725290298461914e-09,0.0,0.0940583124756813,0
9,4,-0.04642653092741966,0.04642653092741966,0.0,0.0,0.092702716588974,0
9,5,-0.04401613399386406,0.04401613399386406,3.725290298461914e-09,0.0,0.0901607871055603,0
9,6,-0.04401613399386406,0.04401613399386406,3.725290298461914e-09,0.0,0.09212357550859451,0
9,7,-0.04642653092741966,0.04642653092741966,0.0,0.0,0.08469786494970322,0
9,8,-0.04642653092741966,0.04642653092741966,0.0,0.0,0.09754999727010727,0
9,9,-0.04401613399386406,0.04401613399386406,3.725290298461914e-09,0.0,0.09111049771308899,0
10,0,-0.04401613399386406,0.04401613399386406,3.725290298461914e-09,0.0,0.0947130098938942,0
10,1,-0.04401613399386406,0.04401613399386406,3.725290298461914e-09,0.0,0.09760573506355286,0
10,2,-0.04642653092741966,0.04642653092741966,0.0,0.0,0.08824023604393005,0
10,3,-0.04401613399386406,0.04401613399386406,3.725290298461914e-09,0.0,0.09183865040540695,0
10,4,-0.04401613399386406,0.04401613399386406,3.725290298461914e-09,0.0,0.09122917801141739,0
10,5,-0.04475808143615723,0.04475808143615723,0.0,0.0,0.09422919154167175,0
10,6,-0.04642653092741966,0.04642653092741966,0.0,0.0,0.09269668906927109,0
10,7,-0.04642653092741966,0.04642653092741966,0.0,0.0,0.09096137434244156,0
10,8,-0.04401613399386406,0.04401613399386406,3.725290298461914e-09,0.0,0.09688961505889893,0
10,9,-0.04401613399386406,0.04401613399386406,3.725290298461914e-09,0.0,0.0978010967373848,0
11,0,-0.04401613399386406,0.04401613399386406,3.725290298461914e-09,0.0,0.09505445510149002,0
11,1,-0.04401613399386406,0.04401613399386406,3.725290298461914e-09,0.0,0.09653190523386002,0
11,2,-0.04449865594506264,0.04449865594506264,0.0,0.0,0.08979850262403488,0
11,3,-0.04642653092741966,0.04642653092741966,0.0,0.0,0.08925167471170425,0
11,4,-0.04401613399386406,0.04401613399386406,3.725290298461914e-09,0.0,0.09693574905395508,0
11,5,-0.04642653092741966,0.04642653092741966,0.0,0.0,0.09767427295446396,0
11,6,-0.04642653092741966,0.04642653092741966,0.0,0.0,0.08864595741033554,0
11,7,-0.04642653092741966,0.04642653092741966,0.0,0.0,0.09319768100976944,0
11,8,-0.04401613399386406,0.04401613399386406,3.725290298461914e-09,0.0,0.0939454510807991,0
